filename,width,height,class,xmin,ymin,xmax,ymax
093384421_jpg.rf.011a8b1571a615968b8915a4ab7c8234.jpg,640,640,3H,100,374,132,416
093384421_jpg.rf.011a8b1571a615968b8915a4ab7c8234.jpg,640,640,7S,142,361,169,403
093384421_jpg.rf.011a8b1571a615968b8915a4ab7c8234.jpg,640,640,QD,179,358,200,401
093384421_jpg.rf.011a8b1571a615968b8915a4ab7c8234.jpg,640,640,QD,304,480,325,524
255782428_jpg.rf.0166e21e4342eb3d8046060735f49fe3.jpg,640,640,KD,243,401,296,457
255782428_jpg.rf.0166e21e4342eb3d8046060735f49fe3.jpg,640,640,7S,203,356,263,406
255782428_jpg.rf.0166e21e4342eb3d8046060735f49fe3.jpg,640,640,2S,170,275,232,312
255782428_jpg.rf.0166e21e4342eb3d8046060735f49fe3.jpg,640,640,2S,330,52,391,88
804238370_jpg.rf.006da1b2133b3040737afe543afa1e94.jpg,640,640,10C,189,364,230,398
804238370_jpg.rf.006da1b2133b3040737afe543afa1e94.jpg,640,640,9S,214,341,250,377
804238370_jpg.rf.006da1b2133b3040737afe543afa1e94.jpg,640,640,6H,259,311,289,350
804238370_jpg.rf.006da1b2133b3040737afe543afa1e94.jpg,640,640,6H,425,381,455,421
196258880_jpg.rf.0322a8206172b7853a8876f164c9496c.jpg,640,640,6D,125,159,159,222
196258880_jpg.rf.0322a8206172b7853a8876f164c9496c.jpg,640,640,6D,185,154,211,217
196258880_jpg.rf.0322a8206172b7853a8876f164c9496c.jpg,640,640,5C,249,161,280,225
196258880_jpg.rf.0322a8206172b7853a8876f164c9496c.jpg,640,640,5C,374,406,406,470
655669665_jpg.rf.0156258e653c3b9f1d5b40edf5916c04.jpg,640,640,JS,201,243,243,300
655669665_jpg.rf.0156258e653c3b9f1d5b40edf5916c04.jpg,640,640,AD,256,210,292,269
655669665_jpg.rf.0156258e653c3b9f1d5b40edf5916c04.jpg,640,640,5S,313,191,347,254
655669665_jpg.rf.0156258e653c3b9f1d5b40edf5916c04.jpg,640,640,5S,525,369,559,433
594687076_jpg.rf.0048ee493bdae03ea9c097d0dcce2d45.jpg,640,640,JH,262,359,305,380
594687076_jpg.rf.0048ee493bdae03ea9c097d0dcce2d45.jpg,640,640,7C,259,327,301,348
594687076_jpg.rf.0048ee493bdae03ea9c097d0dcce2d45.jpg,640,640,3D,268,268,311,293
594687076_jpg.rf.0048ee493bdae03ea9c097d0dcce2d45.jpg,640,640,3D,430,196,474,220
555406034_jpg.rf.0071a5588b1cdfd04c9de208a4491f73.jpg,640,640,2S,453,481,479,523
555406034_jpg.rf.0071a5588b1cdfd04c9de208a4491f73.jpg,640,640,9H,414,464,444,504
555406034_jpg.rf.0071a5588b1cdfd04c9de208a4491f73.jpg,640,640,AC,384,440,417,478
555406034_jpg.rf.0071a5588b1cdfd04c9de208a4491f73.jpg,640,640,AC,385,263,418,301
301839461_jpg.rf.014d6683277a20f87b27a06e5115c97f.jpg,640,640,2S,225,372,251,414
301839461_jpg.rf.014d6683277a20f87b27a06e5115c97f.jpg,640,640,JC,266,368,285,411
301839461_jpg.rf.014d6683277a20f87b27a06e5115c97f.jpg,640,640,2C,304,369,325,412
301839461_jpg.rf.014d6683277a20f87b27a06e5115c97f.jpg,640,640,2C,398,521,419,564
357967567_jpg.rf.00416af27122da515ca04e7731e7845b.jpg,640,640,7H,348,237,408,283
357967567_jpg.rf.00416af27122da515ca04e7731e7845b.jpg,640,640,3C,363,284,427,326
357967567_jpg.rf.00416af27122da515ca04e7731e7845b.jpg,640,640,3H,375,400,439,428
357967567_jpg.rf.00416af27122da515ca04e7731e7845b.jpg,640,640,3H,158,566,222,594
046363817_jpg.rf.029a105dbcf9859a1626a4353f3b36af.jpg,640,640,4S,269,291,306,324
046363817_jpg.rf.029a105dbcf9859a1626a4353f3b36af.jpg,640,640,7S,237,319,274,359
046363817_jpg.rf.029a105dbcf9859a1626a4353f3b36af.jpg,640,640,JH,196,341,219,382
046363817_jpg.rf.029a105dbcf9859a1626a4353f3b36af.jpg,640,640,JH,42,259,65,300
584857942_jpg.rf.025357729f82beb90219de0133c9d6e1.jpg,640,640,QS,127,268,189,296
584857942_jpg.rf.025357729f82beb90219de0133c9d6e1.jpg,640,640,7S,143,197,206,239
584857942_jpg.rf.025357729f82beb90219de0133c9d6e1.jpg,640,640,8H,166,151,226,193
584857942_jpg.rf.025357729f82beb90219de0133c9d6e1.jpg,640,640,8H,441,118,499,159
838317907_jpg.rf.0482ab6a973bd23fb0b4e3d7456f5b1b.jpg,640,640,6C,315,270,349,334
838317907_jpg.rf.0482ab6a973bd23fb0b4e3d7456f5b1b.jpg,640,640,9D,255,269,280,332
838317907_jpg.rf.0482ab6a973bd23fb0b4e3d7456f5b1b.jpg,640,640,6H,202,263,235,325
838317907_jpg.rf.0482ab6a973bd23fb0b4e3d7456f5b1b.jpg,640,640,6H,83,15,116,77
294074596_jpg.rf.0673f6b8e05ea8dce51a76c878b23067.jpg,640,640,7D,388,248,446,299
294074596_jpg.rf.0673f6b8e05ea8dce51a76c878b23067.jpg,640,640,AS,349,285,397,338
294074596_jpg.rf.0673f6b8e05ea8dce51a76c878b23067.jpg,640,640,5C,288,322,335,381
294074596_jpg.rf.0673f6b8e05ea8dce51a76c878b23067.jpg,640,640,5C,39,206,85,268
703637601_jpg.rf.05668b38a9de8371331cc1a87b6a3582.jpg,640,640,3S,460,213,522,257
703637601_jpg.rf.05668b38a9de8371331cc1a87b6a3582.jpg,640,640,8S,423,265,481,313
703637601_jpg.rf.05668b38a9de8371331cc1a87b6a3582.jpg,640,640,2S,386,302,439,356
703637601_jpg.rf.05668b38a9de8371331cc1a87b6a3582.jpg,640,640,2S,115,259,167,312
949637919_jpg.rf.05336ce395753bf774026529a3011520.jpg,640,640,10C,342,258,379,297
949637919_jpg.rf.05336ce395753bf774026529a3011520.jpg,640,640,QD,316,272,346,312
949637919_jpg.rf.05336ce395753bf774026529a3011520.jpg,640,640,7D,273,284,296,328
949637919_jpg.rf.05336ce395753bf774026529a3011520.jpg,640,640,7D,131,172,154,215
321747901_jpg.rf.05027bd7bc8bad8c63e741106bbdd9a9.jpg,640,640,JD,490,308,547,351
321747901_jpg.rf.05027bd7bc8bad8c63e741106bbdd9a9.jpg,640,640,3H,453,366,509,419
321747901_jpg.rf.05027bd7bc8bad8c63e741106bbdd9a9.jpg,640,640,2H,421,395,471,448
321747901_jpg.rf.05027bd7bc8bad8c63e741106bbdd9a9.jpg,640,640,2H,149,339,199,393
298582506_jpg.rf.068b9568017e431d6d48d348877d4d60.jpg,640,640,3D,127,296,192,332
298582506_jpg.rf.068b9568017e431d6d48d348877d4d60.jpg,640,640,9S,153,245,211,287
298582506_jpg.rf.068b9568017e431d6d48d348877d4d60.jpg,640,640,6S,211,171,265,225
298582506_jpg.rf.068b9568017e431d6d48d348877d4d60.jpg,640,640,6S,488,203,541,257
375490477_jpg.rf.04c4f2a0243daaee0e09765f61c7a129.jpg,640,640,7S,220,211,267,272
375490477_jpg.rf.04c4f2a0243daaee0e09765f61c7a129.jpg,640,640,7D,292,191,325,255
375490477_jpg.rf.04c4f2a0243daaee0e09765f61c7a129.jpg,640,640,3S,370,186,396,250
375490477_jpg.rf.04c4f2a0243daaee0e09765f61c7a129.jpg,640,640,3S,541,401,568,464
795742870_jpg.rf.066cd946eea216924722907038e31199.jpg,640,640,4H,128,404,170,426
795742870_jpg.rf.066cd946eea216924722907038e31199.jpg,640,640,QS,132,364,174,384
795742870_jpg.rf.066cd946eea216924722907038e31199.jpg,640,640,3C,143,315,186,345
795742870_jpg.rf.066cd946eea216924722907038e31199.jpg,640,640,3C,315,262,357,291
